"","neuron_ID","animal_ID","treatment","sex","position","channels","cell_desc","assignment","cell_type","stim_type","stim_code","stim_amp","idc_amp","recovery_time","exp_phase","is_good_assign","WOI1","WOI2","spikes_count_pre","spikes_count_post","trials_count","spikes_std_pre","spikes_std_post","recording_time","template_time","delta_t","spikes_pre","spikes_post","max_bin_time","max_bin_count","max_bin_time_template","max_bin_count_template","bins","recording_filenames","recording_files_num","template_filenames","template_files_num","net_response","log_spikes_count_post","log_spikes_count_pre","t_test","evoked"
"1","SPC21_2_[19 28 29]-2_tactile1","SPC21","SPC","M",2,"[19, 28, 29]","tactile1",2,"shaker","shaker","M1",100,0,0.5,"recovery","true","[-40, 0]","[0, 40]",0,58,50,0,0.548095031235739,71428,71232,196,"Any[]","Any[11.933333333333334, 19.266666666666666, 13.7, 17.0, 13.133333333333333, 7.833333333333333, 15.533333333333333, 15.066666666666666, 11.5, 13.666666666666666, 12.6, 19.5, 13.433333333333334, 15.933333333333334, 13.2, 17.333333333333332, 13.533333333333333, 11.0, 16.966666666666665, 17.166666666666668, 11.3, 10.966666666666667, 16.6, 11.166666666666666, 18.366666666666667, 12.733333333333333, 14.333333333333334, 17.233333333333334, 18.333333333333332, 17.366666666666667, 21.533333333333335, 10.8, 12.833333333333334, 16.866666666666667, 13.266666666666667, 18.633333333333333, 16.7, 16.5, 17.1, 15.233333333333333, 9.5, 20.033333333333335, 13.866666666666667, 17.133333333333333, 13.566666666666666, 20.433333333333334, 11.5, 16.966666666666665, 13.766666666666667, 9.7, 16.866666666666667, 19.266666666666666, 14.5, 29.466666666666665, 15.466666666666667, 14.966666666666667, 16.733333333333334, 15.033333333333333]",13,10,0,0,"0:1:40","[""spc21_210624_195028.rhs"", ""spc21_210624_195044.rhs"", ""spc21_210624_195100.rhs"", ""spc21_210624_195116.rhs"", ""spc21_210624_195132.rhs""]","[11, 12, 13, 14, 15]","[""spc21_210624_194712.rhs"", ""spc21_210624_194728.rhs"", ""spc21_210624_194744.rhs"", ""spc21_210624_194800.rhs"", ""spc21_210624_194816.rhs""]","[6, 7, 8, 9, 10]",58,1.77085201164214,0,4.31239032082537e-101,TRUE
"2","SPC21_2_[19 28 29]-10_tactile1","SPC21","SPC","M",2,"[19, 28, 29]","tactile1",10,"shaker","shaker","M1",100,0,0.5,"recovery","true","[-40, 0]","[0, 40]",0,42,50,0,0.955328771274314,71428,71232,196,"Any[]","Any[17.3, 22.6, 21.4, 19.3, 13.733333333333333, 21.566666666666666, 20.4, 17.0, 15.866666666666667, 20.333333333333332, 24.666666666666668, 15.933333333333334, 20.766666666666666, 19.533333333333335, 18.766666666666666, 6.766666666666667, 17.2, 26.966666666666665, 6.9, 15.633333333333333, 17.5, 20.3, 28.233333333333334, 18.4, 23.4, 15.9, 19.766666666666666, 6.9, 12.266666666666667, 17.133333333333333, 17.5, 21.966666666666665, 14.766666666666667, 6.9, 7.033333333333333, 17.4, 22.333333333333332, 6.866666666666666, 7.0, 6.766666666666667, 15.933333333333334, 18.1]",6,7,0,0,"0:1:40","[""spc21_210624_195028.rhs"", ""spc21_210624_195044.rhs"", ""spc21_210624_195100.rhs"", ""spc21_210624_195116.rhs"", ""spc21_210624_195132.rhs""]","[11, 12, 13, 14, 15]","[""spc21_210624_194712.rhs"", ""spc21_210624_194728.rhs"", ""spc21_210624_194744.rhs"", ""spc21_210624_194800.rhs"", ""spc21_210624_194816.rhs""]","[6, 7, 8, 9, 10]",42,1.63346845557959,0,2.1020945444117e-82,TRUE
"3","SPC29_3_[9 24 25]-2_thermal1","SPC29","SPC","M",3,"[9, 24, 25]","thermal1",2,"laser","laser","L1",2.15,0,27.5,"recovery","true","[-700, 0]","[800, 1500]",5,22,2,2.12132034355964,2.82842712474619,63895,61628,2267,"Any[-619.4, -610.7333333333333, -311.8333333333333, -152.06666666666666, -320.1666666666667]","Any[807.3333333333334, 1007.5666666666667, 1011.5, 1024.1333333333334, 1041.4, 1110.7333333333333, 1128.9, 1201.3666666666666, 1324.4, 1055.7, 1081.6666666666667, 1092.0666666666666, 1100.0, 1101.0666666666666, 1104.6, 1112.4666666666667, 1135.3, 1154.2666666666667, 1190.5, 1257.1333333333334, 1297.6666666666667, 1443.1333333333334]",1100,6,0,0,"800:50:1500","[""spc29_210914_174455.rhs""]","[21]","[""spc29_210914_170708.rhs""]","[6]",17,1.36172783601759,0.778151250383644,0.0253828600269556,TRUE
"4","SPC29_3_[9 24 25]-5_thermal1","SPC29","SPC","M",3,"[9, 24, 25]","thermal1",5,"laser","laser","L1",2.15,0,27.5,"recovery","true","[-700, 0]","[800, 1500]",22,51,2,1.4142135623731,3.53553390593274,63895,61628,2267,"Any[-653.2, -568.9333333333333, -514.4333333333333, -447.23333333333335, -397.6, -324.7, -258.46666666666664, -221.96666666666667, -164.1, -115.73333333333333, -82.83333333333333, -26.433333333333334, -667.2, -588.8333333333334, -502.43333333333334, -433.8666666666667, -360.9, -281.8666666666667, -223.33333333333334, -190.16666666666666, -70.73333333333333, -9.566666666666666]","Any[882.2666666666667, 915.8333333333334, 929.4, 949.4666666666667, 953.0666666666667, 959.4, 988.4666666666667, 998.5333333333333, 1009.6, 1022.6333333333333, 1026.9666666666667, 1031.7333333333333, 1034.9, 1046.4666666666667, 1053.9666666666667, 1057.7666666666667, 1071.1333333333334, 1091.0666666666666, 1117.5, 1145.3666666666666, 1161.6, 1203.3333333333333, 1239.5, 1266.0, 1315.3, 1355.1666666666667, 1399.1, 1447.0666666666666, 805.9, 871.1666666666666, 927.0333333333333, 960.1666666666666, 974.4333333333333, 981.9, 993.3666666666667, 1005.1666666666666, 1044.6333333333334, 1052.6666666666667, 1061.0666666666666, 1067.6666666666667, 1069.8333333333333, 1075.8333333333333, 1084.6666666666667, 1089.7666666666667, 1094.4, 1108.0, 1114.9333333333334, 1126.2, 1164.2333333333333, 1209.9666666666667, 1355.7666666666667]",1050,12,0,0,"800:50:1500","[""spc29_210914_174455.rhs""]","[21]","[""spc29_210914_170708.rhs""]","[6]",29,1.7160033436348,1.36172783601759,0.0306549544326484,TRUE
"5","SPC29_3_[9 24 25]-6_thermal1","SPC29","SPC","M",3,"[9, 24, 25]","thermal1",6,"laser","laser","L1",2.15,0,28.5,"recovery","true","[-700, 0]","[800, 1500]",16,35,2,1.4142135623731,0.707106781186548,63943,61628,2315,"Any[-644.2333333333333, -517.1333333333333, -279.9, -242.4, -237.6, -114.53333333333333, -59.766666666666666, -599.9666666666667, -516.7666666666667, -390.6333333333333, -342.6333333333333, -280.8666666666667, -213.76666666666668, -126.86666666666666, -93.56666666666666, -49.5]","Any[977.5, 1063.4333333333334, 1088.6666666666667, 1094.5333333333333, 1112.4333333333334, 1163.9333333333334, 1169.5666666666666, 1177.4666666666667, 1194.9666666666667, 1197.7333333333333, 1229.5666666666666, 1235.1666666666667, 1238.0666666666666, 1269.4, 1320.4, 1332.9333333333334, 1441.8, 833.4, 956.9666666666667, 1013.5333333333333, 1053.1666666666667, 1128.4, 1183.7666666666667, 1202.8, 1205.7333333333333, 1217.0333333333333, 1243.3333333333333, 1275.7, 1302.3333333333333, 1332.9, 1343.3666666666666, 1350.9333333333334, 1393.6333333333334, 1474.6, 1479.0666666666666]",1200,7,0,0,"800:50:1500","[""spc29_210914_174543.rhs""]","[22]","[""spc29_210914_170708.rhs""]","[6]",19,1.55630250076729,1.23044892137827,0.0115131051827751,TRUE
"6","SPC29_3_[9 24 25]-3_thermal1","SPC29","SPC","M",3,"[9, 24, 25]","thermal1",3,"laser","laser","L1",2.15,0,41,"recovery","true","[-700, 0]","[800, 1500]",19,23,2,0.707106781186548,0.707106781186548,64702,61628,3074,"Any[-659.1, -594.7333333333333, -589.9, -515.2333333333333, -318.03333333333336, -227.93333333333334, -179.36666666666667, -64.83333333333333, -52.13333333333333, -33.43333333333333, -599.5666666666667, -530.7, -519.2333333333333, -512.4666666666667, -336.1, -288.8666666666667, -230.7, -182.7, -104.73333333333333]","Any[810.8, 884.8, 998.3333333333334, 1024.7, 1171.1666666666667, 1201.9, 1203.9666666666667, 1236.9666666666667, 1276.7666666666667, 1313.0333333333333, 1360.5333333333333, 1373.1666666666667, 820.7, 858.8666666666667, 1061.0, 1076.2333333333333, 1088.8, 1105.2333333333333, 1237.3, 1242.0333333333333, 1270.2333333333333, 1298.4666666666667, 1461.0]",1200,5,0,0,"800:50:1500","[""spc29_210914_175822.rhs""]","[29]","[""spc29_210914_170708.rhs""]","[6]",4,1.38021124171161,1.30102999566398,0.0298574998546681,TRUE
"7","SPC29_3_[3 7 13]-4_thermal2","SPC29","SPC","M",3,"[3, 7, 13]","thermal2",4,"laser","laser","L1",2.15,0,5,"recovery","true","[-700, 0]","[800, 1500]",12,46,2,1.4142135623731,4.24264068711928,62528,61628,900,"Any[-663.0666666666667, -581.7, -509.1666666666667, -268.23333333333335, -203.56666666666666, -72.16666666666667, -19.333333333333332, -478.43333333333334, -235.03333333333333, -209.6, -104.4, -43.733333333333334]","Any[813.3666666666667, 847.1, 869.5, 871.5333333333333, 886.7333333333333, 896.2666666666667, 912.9333333333333, 992.5, 1025.8666666666666, 1091.1666666666667, 1159.6666666666667, 1178.4666666666667, 1190.7333333333333, 1200.0666666666666, 1204.9666666666667, 1281.8, 1318.4333333333334, 1326.2333333333333, 1453.8666666666666, 1483.2333333333333, 820.8, 843.9333333333333, 851.2, 854.5333333333333, 954.6, 1020.6666666666666, 1033.0333333333333, 1134.5666666666666, 1145.8333333333333, 1157.5666666666666, 1211.7333333333333, 1224.4, 1228.8333333333333, 1253.8666666666666, 1257.3333333333333, 1258.4333333333334, 1266.3666666666666, 1267.1, 1309.2666666666667, 1313.0333333333333, 1336.5333333333333, 1347.6666666666667, 1356.0333333333333, 1364.4, 1385.6666666666667, 1401.2]",850,6,0,0,"800:50:1500","[""spc29_210914_172208.rhs""]","[14]","[""spc29_210914_170708.rhs""]","[6]",34,1.67209785793572,1.11394335230684,0.0370749344771668,TRUE
"8","SPC29_3_[3 7 13]-6_thermal2","SPC29","SPC","M",3,"[3, 7, 13]","thermal2",6,"laser","laser","L1",2.15,0,27.5,"recovery","true","[-700, 0]","[800, 1500]",0,39,2,0,0.707106781186548,63895,61628,2267,"Any[]","Any[852.3333333333334, 893.4333333333333, 918.4666666666667, 949.0666666666667, 961.5333333333333, 1003.5666666666667, 1020.6333333333333, 1030.6333333333334, 1054.2, 1075.8666666666666, 1093.8, 1112.6333333333334, 1127.8, 1151.1666666666667, 1183.2, 1207.5666666666666, 1231.0, 1281.7666666666667, 1313.2, 1410.0333333333333, 942.3, 962.1, 990.8666666666667, 993.1, 1005.5333333333333, 1032.7, 1049.6, 1070.6333333333334, 1085.1, 1108.9333333333334, 1127.3333333333333, 1142.1666666666667, 1163.6, 1189.9333333333334, 1222.0, 1249.4, 1271.5333333333333, 1320.3666666666666, 1427.1333333333334]",1000,6,0,0,"800:50:1500","[""spc29_210914_174455.rhs""]","[21]","[""spc29_210914_170708.rhs""]","[6]",39,1.60205999132796,0,0.0081613448250535,TRUE
"9","SPC29_3_[3 7 13]-5_thermal2","SPC29","SPC","M",3,"[3, 7, 13]","thermal2",5,"laser","laser","L1",2.15,0,29,"recovery","true","[-700, 0]","[800, 1500]",30,55,2,0,0.707106781186548,63991,61628,2363,"Any[-665.4666666666667, -641.8666666666667, -493.03333333333336, -483.3666666666667, -428.8, -408.56666666666666, -374.3, -316.43333333333334, -254.63333333333333, -243.9, -238.33333333333334, -190.53333333333333, -106.7, -82.46666666666667, -22.766666666666666, -681.5333333333333, -628.7333333333333, -566.2333333333333, -496.73333333333335, -398.8, -380.8666666666667, -356.56666666666666, -338.43333333333334, -298.46666666666664, -284.3666666666667, -264.0, -231.03333333333333, -210.5, -127.83333333333333, -25.533333333333335]","Any[805.4, 924.5, 931.3666666666667, 997.6666666666666, 1070.7666666666667, 1103.1, 1130.0666666666666, 1158.1333333333334, 1174.2, 1188.7, 1223.6666666666667, 1226.6333333333334, 1227.6666666666667, 1238.1, 1251.2333333333333, 1271.9, 1278.8666666666666, 1303.0666666666666, 1315.7666666666667, 1319.2333333333333, 1328.5666666666666, 1337.7666666666667, 1371.6333333333334, 1401.6666666666667, 1419.6666666666667, 1423.5666666666666, 1473.4, 1491.4666666666667, 820.3, 879.5, 1018.6, 1072.3666666666666, 1073.4, 1100.7, 1142.8666666666666, 1145.7, 1150.9, 1151.8333333333333, 1167.6333333333334, 1191.2666666666667, 1210.3, 1218.4666666666667, 1222.6333333333334, 1227.0, 1229.0333333333333, 1243.1, 1244.3666666666666, 1247.0333333333333, 1288.8666666666666, 1291.4, 1348.0333333333333, 1419.9666666666667, 1422.2333333333333, 1426.8666666666666, 1436.9]",1200,12,0,0,"800:50:1500","[""spc29_210914_174631.rhs""]","[23]","[""spc29_210914_170708.rhs""]","[6]",25,1.7481880270062,1.49136169383427,0.0127306982019456,TRUE
"10","SPC29_3_[3 7 13]-3_thermal2","SPC29","SPC","M",3,"[3, 7, 13]","thermal2",3,"laser","laser","L1",2.15,0,41,"recovery","true","[-700, 0]","[800, 1500]",6,24,2,1.4142135623731,0,64702,61628,3074,"Any[-504.06666666666666, -206.2, -128.23333333333332, -124.56666666666666, -687.2, -609.1333333333333]","Any[837.8, 905.7333333333333, 1007.2333333333333, 1039.1, 1065.5333333333333, 1071.0333333333333, 1103.9, 1175.4333333333334, 1239.6333333333334, 1246.2333333333333, 1395.8666666666666, 1492.7, 883.5333333333333, 1018.9666666666667, 1111.8, 1147.3666666666666, 1184.7666666666667, 1230.8333333333333, 1233.5, 1258.2, 1273.2, 1277.9666666666667, 1420.7666666666667, 1434.6]",1200,4,0,0,"800:50:1500","[""spc29_210914_175822.rhs""]","[29]","[""spc29_210914_170708.rhs""]","[6]",18,1.39794000867204,0.845098040014257,0.0353314457762693,TRUE
"11","SNT04_1_[17 6 22]-11_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",11,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",2,16,50,0.197948663722157,0.471212071499161,50762,50222,540,"Any[-37.7, -28.966666666666665]","Any[16.8, 10.6, 13.866666666666667, 10.2, 11.866666666666667, 10.266666666666667, 12.833333333333334, 16.666666666666668, 14.633333333333333, 12.5, 18.433333333333334, 15.933333333333334, 15.433333333333334, 9.8, 13.633333333333333, 13.9]",10,3,0,0,"0:1:40","[""snt04_220819_140602.rhs"", ""snt04_220819_140618.rhs"", ""snt04_220819_140634.rhs"", ""snt04_220819_140650.rhs"", ""snt04_220819_140706.rhs""]","[6, 7, 8, 9, 10]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",14,1.23044892137827,0.477121254719662,2.12517823890167e-92,TRUE
"12","SNT04_1_[17 6 22]-14_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",14,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",0,14,50,0,0.496518491342365,50762,50222,540,"Any[]","Any[9.3, 11.066666666666666, 12.933333333333334, 12.133333333333333, 12.7, 11.933333333333334, 15.166666666666666, 11.7, 11.933333333333334, 10.933333333333334, 13.033333333333333, 12.533333333333333, 10.2, 16.266666666666666]",11,4,0,0,"0:1:40","[""snt04_220819_140602.rhs"", ""snt04_220819_140618.rhs"", ""snt04_220819_140634.rhs"", ""snt04_220819_140650.rhs"", ""snt04_220819_140706.rhs""]","[6, 7, 8, 9, 10]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",14,1.17609125905568,0,5.85297693038813e-73,TRUE
"13","SNT04_1_[17 6 22]-17_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",17,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",0,12,50,0,0.4314191105869,50762,50222,540,"Any[]","Any[12.866666666666667, 9.9, 11.433333333333334, 8.2, 13.866666666666667, 13.566666666666666, 15.966666666666667, 10.566666666666666, 15.633333333333333, 9.666666666666666, 13.8, 13.7]",13,4,0,0,"0:1:40","[""snt04_220819_140602.rhs"", ""snt04_220819_140618.rhs"", ""snt04_220819_140634.rhs"", ""snt04_220819_140650.rhs"", ""snt04_220819_140706.rhs""]","[6, 7, 8, 9, 10]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",12,1.11394335230684,0,1.13932802460629e-72,TRUE
"14","SNT04_1_[17 6 22]-14_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",14,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",0,7,50,0,0.350509832753866,51130,50222,908,"Any[]","Any[15.6, 12.366666666666667, 9.4, 10.333333333333334, 15.533333333333333, 15.266666666666667, 15.133333333333333]",15,4,0,0,"0:1:40","[""snt04_220819_141210.rhs"", ""snt04_220819_141226.rhs"", ""snt04_220819_141242.rhs"", ""snt04_220819_141258.rhs"", ""snt04_220819_141314.rhs""]","[11, 12, 13, 14, 15]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",7,0.903089986991944,0,1.24328553753027e-65,TRUE
"15","SNT04_1_[17 6 22]-17_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",17,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",1,12,50,0.14142135623731,0.517450579322138,51130,50222,908,"Any[-26.133333333333333]","Any[9.9, 9.3, 14.533333333333333, 9.8, 17.233333333333334, 9.833333333333334, 12.5, 11.666666666666666, 17.6, 13.933333333333334, 9.366666666666667, 17.433333333333334]",9,5,0,0,"0:1:40","[""snt04_220819_141210.rhs"", ""snt04_220819_141226.rhs"", ""snt04_220819_141242.rhs"", ""snt04_220819_141258.rhs"", ""snt04_220819_141314.rhs""]","[11, 12, 13, 14, 15]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",11,1.11394335230684,0.301029995663981,4.0413825360733e-74,TRUE
"16","SNT04_1_[17 6 22]-19_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",19,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",0,13,50,0,0.527218345349884,51130,50222,908,"Any[]","Any[15.633333333333333, 17.8, 15.966666666666667, 9.633333333333333, 9.133333333333333, 8.066666666666666, 17.066666666666666, 14.166666666666666, 16.3, 11.233333333333333, 13.1, 17.666666666666668, 22.966666666666665]",17,3,0,0,"0:1:40","[""snt04_220819_141210.rhs"", ""snt04_220819_141226.rhs"", ""snt04_220819_141242.rhs"", ""snt04_220819_141258.rhs"", ""snt04_220819_141314.rhs""]","[11, 12, 13, 14, 15]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",13,1.14612803567824,0,4.14167194142991e-70,TRUE
"17","SNT04_1_[17 6 22]-23_tactile1","SNT04","SNT","M",1,"[17, 6, 22]","tactile1",23,"shaker","shaker","M1",100,0,1,"recovery","true","[-40, 0]","[0, 40]",1,10,50,0.14142135623731,0.451753951452626,51130,50222,908,"Any[-6.133333333333334]","Any[2.8666666666666667, 11.733333333333333, 16.833333333333332, 13.566666666666666, 14.4, 13.0, 10.866666666666667, 8.6, 10.566666666666666, 13.833333333333334]",10,2,0,0,"0:1:40","[""snt04_220819_141210.rhs"", ""snt04_220819_141226.rhs"", ""snt04_220819_141242.rhs"", ""snt04_220819_141258.rhs"", ""snt04_220819_141314.rhs""]","[11, 12, 13, 14, 15]","[""snt04_220819_135702.rhs"", ""snt04_220819_135718.rhs"", ""snt04_220819_135734.rhs"", ""snt04_220819_135750.rhs"", ""snt04_220819_135806.rhs""]","[1, 2, 3, 4, 5]",9,1.04139268515823,0.301029995663981,1.3605405776153e-74,TRUE
"18","SNT04_1_[20 10 30]-10_thermal2","SNT04","SNT","M",1,"[20, 10, 30]","thermal2",10,"laser","laser","L1",2.69,0,10,"recovery","true","[-700, 0]","[800, 1500]",5,22,2,0.707106781186548,1.4142135623731,60332,58150,2182,"Any[-682.2333333333333, -638.7, -406.26666666666665, -318.3666666666667, -202.93333333333334]","Any[955.1, 964.3, 1117.8666666666666, 1121.2666666666667, 1139.8666666666666, 1165.9, 1192.2333333333333, 1305.5, 1313.7333333333333, 1373.5, 925.3, 947.1333333333333, 984.2, 996.3666666666667, 1001.3666666666667, 1016.3333333333334, 1142.7, 1149.1666666666667, 1223.5, 1284.1333333333334, 1320.9333333333334, 1489.9666666666667]",1100,5,0,0,"800:50:1500","[""snt04_220819_164532.rhs"", ""snt04_220819_164903.rhs""]","[10, 11]","[""snt04_220819_160910.rhs"", ""snt04_220819_161241.rhs""]","[7, 8]",17,1.36172783601759,0.778151250383644,0.0135500797503877,TRUE
"19","SNT04_1_[20 10 30]-13_thermal2","SNT04","SNT","M",1,"[20, 10, 30]","thermal2",13,"laser","laser","L1",2.69,0,10,"recovery","true","[-700, 0]","[800, 1500]",1,45,2,0.707106781186548,4.94974746830583,60332,58150,2182,"Any[-103.0]","Any[831.8333333333334, 832.9666666666667, 837.5, 873.4333333333333, 881.2666666666667, 883.0666666666667, 883.7, 887.9, 889.3333333333334, 893.0333333333333, 925.6666666666666, 932.3333333333334, 959.2333333333333, 974.9333333333333, 982.4666666666667, 989.8333333333334, 1013.0333333333333, 1044.8, 1046.6666666666667, 1049.6, 1060.7666666666667, 1071.0333333333333, 1160.4666666666667, 1242.1333333333334, 1293.7, 1351.5333333333333, 869.8333333333334, 897.0666666666667, 957.7333333333333, 983.0666666666667, 993.9666666666667, 1021.7666666666667, 1031.4333333333334, 1046.4333333333334, 1116.9333333333334, 1131.3666666666666, 1136.9333333333334, 1202.5333333333333, 1219.7666666666667, 1248.4333333333334, 1260.1666666666667, 1269.7, 1399.6333333333334, 1401.6333333333334, 1431.4]",850,9,0,0,"800:50:1500","[""snt04_220819_164532.rhs"", ""snt04_220819_164903.rhs""]","[10, 11]","[""snt04_220819_160910.rhs"", ""snt04_220819_161241.rhs""]","[7, 8]",44,1.66275783168157,0.301029995663981,0.0464360035189602,TRUE
"20","SNT04_1_[20 10 30]-18_thermal2","SNT04","SNT","M",1,"[20, 10, 30]","thermal2",18,"laser","laser","L1",2.69,0,10,"recovery","true","[-700, 0]","[800, 1500]",0,42,2,0,4.24264068711928,60332,58150,2182,"Any[]","Any[801.1333333333333, 824.3333333333334, 826.1, 856.8333333333334, 934.7333333333333, 944.2333333333333, 985.9666666666667, 1010.4666666666667, 1033.6, 1047.9666666666667, 1087.1333333333334, 1098.9666666666667, 1118.8666666666666, 1163.5333333333333, 1219.2333333333333, 1296.8, 1421.3666666666666, 1425.2666666666667, 926.1, 929.5333333333333, 1011.3333333333334, 1041.1333333333334, 1044.5666666666666, 1048.7, 1064.3333333333333, 1067.0333333333333, 1090.0666666666666, 1101.0333333333333, 1107.1333333333334, 1151.0, 1175.6666666666667, 1191.4, 1199.9333333333334, 1221.3, 1232.1666666666667, 1246.8666666666666, 1256.4666666666667, 1297.0666666666666, 1322.0333333333333, 1369.9666666666667, 1382.7, 1405.9333333333334]",1000,7,0,0,"800:50:1500","[""snt04_220819_164532.rhs"", ""snt04_220819_164903.rhs""]","[10, 11]","[""snt04_220819_160910.rhs"", ""snt04_220819_161241.rhs""]","[7, 8]",42,1.63346845557959,0,0.0453957419997208,TRUE
"21","SNT04_1_[20 10 30]-2_thermal2","SNT04","SNT","M",1,"[20, 10, 30]","thermal2",2,"laser","laser","L1",2.69,0,10,"recovery","true","[-700, 0]","[800, 1500]",1,50,2,0.707106781186548,2.82842712474619,61987,58150,3837,"Any[-18.3]","Any[852.4, 857.6333333333333, 882.2666666666667, 884.9333333333333, 909.5, 993.0, 1024.2333333333333, 1031.8666666666666, 1034.2, 1048.0666666666666, 1049.9, 1152.4666666666667, 1156.9333333333334, 1175.8, 1217.1333333333334, 1222.6666666666667, 1231.9, 1256.7333333333333, 1277.0333333333333, 1286.8666666666666, 1299.2, 1333.4333333333334, 1340.6333333333334, 1352.7666666666667, 1354.1666666666667, 1358.2666666666667, 1469.4, 803.6, 827.1666666666666, 833.6333333333333, 835.2333333333333, 838.0666666666667, 894.0333333333333, 957.7666666666667, 962.3666666666667, 989.7, 1043.2333333333333, 1070.9666666666667, 1113.3666666666666, 1116.3, 1120.0333333333333, 1120.9, 1123.0333333333333, 1129.6666666666667, 1196.8, 1205.6, 1208.9333333333334, 1347.8666666666666, 1444.6, 1447.7666666666667]",1000,6,0,0,"800:50:1500","[""snt04_220819_171307.rhs"", ""snt04_220819_171831.rhs""]","[13, 14]","[""snt04_220819_160910.rhs"", ""snt04_220819_161241.rhs""]","[7, 8]",49,1.70757017609794,0.301029995663981,0.0185716657793525,TRUE
"22","SNT04_1_[20 10 30]-11_thermal2","SNT04","SNT","M",1,"[20, 10, 30]","thermal2",11,"laser","laser","L1",2.69,0,10,"recovery","true","[-700, 0]","[800, 1500]",0,16,2,0,0,61987,58150,3837,"Any[]","Any[822.7333333333333, 825.0, 921.0666666666667, 979.9, 1048.3333333333333, 1091.3333333333333, 1094.6666666666667, 1443.3333333333333, 822.1666666666666, 843.9, 879.4333333333333, 974.5, 1036.7333333333333, 1039.0333333333333, 1140.1, 1471.8]",800,4,0,0,"800:50:1500","[""snt04_220819_171307.rhs"", ""snt04_220819_171831.rhs""]","[13, 14]","[""snt04_220819_160910.rhs"", ""snt04_220819_161241.rhs""]","[7, 8]",16,1.23044892137827,0,0,TRUE
"23","SNT04_1_[20 10 30]-12_thermal2","SNT04","SNT","M",1,"[20, 10, 30]","thermal2",12,"laser","laser","L1",2.69,0,10,"recovery","true","[-700, 0]","[800, 1500]",0,23,2,0,0.707106781186548,61987,58150,3837,"Any[]","Any[820.2666666666667, 822.5333333333333, 950.3, 969.1666666666666, 1053.3333333333333, 1063.2333333333333, 1082.3, 1094.3666666666666, 1141.4333333333334, 1243.4333333333334, 1253.1666666666667, 1281.9666666666667, 823.3, 929.7666666666667, 951.0, 966.0, 968.5, 1095.7666666666667, 1110.3333333333333, 1138.1666666666667, 1190.9333333333334, 1200.2333333333333, 1471.5666666666666]",950,5,0,0,"800:50:1500","[""snt04_220819_171307.rhs"", ""snt04_220819_171831.rhs""]","[13, 14]","[""snt04_220819_160910.rhs"", ""snt04_220819_161241.rhs""]","[7, 8]",23,1.38021124171161,0,0.0138373807418705,TRUE
