"","neuron_ID","animal_ID","treatment","sex","position","channels","cell_desc","assignment","cell_type","stim_type","stim_code","stim_amp","idc_amp","recovery_time","exp_phase","is_good_assign","WOI1","WOI2","spikes_count_pre","spikes_count_post","trials_count","spikes_std_pre","spikes_std_post","recording_time","template_time","delta_t","spikes_pre","spikes_post","max_bin_time","max_bin_count","max_bin_time_template","max_bin_count_template","bins","recording_filenames","recording_files_num","template_filenames","template_files_num","net_response","log_spikes_count_post","log_spikes_count_pre","t_test","evoked","polarity"
"1","SPC10_1_[6 22 27]-2_tactile1","SPC10","SPC","F",1,"[6, 22, 27]","tactile1",2,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",12,116,50,0.4314191105869,1.07741186485513,65051,65051,0,"Any[-34.4, -32.5, -34.2, -14.0, -25.8, -46.93333333333333, -36.8, -40.63333333333333, -31.333333333333332, -29.0, -29.466666666666665, -29.933333333333334]","Any[10.3, 12.466666666666667, 8.566666666666666, 15.4, 8.633333333333333, 17.866666666666667, 36.36666666666667, 12.7, 8.266666666666667, 18.333333333333332, 19.933333333333334, 8.433333333333334, 32.7, 8.633333333333333, 12.366666666666667, 20.566666666666666, 8.266666666666667, 13.266666666666667, 12.8, 8.833333333333334, 40.233333333333334, 8.5, 33.4, 8.4, 17.6, 8.5, 16.333333333333332, 39.03333333333333, 8.633333333333333, 22.133333333333333, 8.4, 11.9, 32.733333333333334, 6.633333333333334, 8.7, 38.9, 8.233333333333333, 14.0, 8.266666666666667, 6.666666666666667, 11.8, 10.266666666666667, 13.4, 14.433333333333334, 16.033333333333335, 8.266666666666667, 16.3, 39.766666666666666, 8.166666666666666, 11.766666666666667, 30.966666666666665, 8.533333333333333, 12.666666666666666, 13.6, 20.6, 45.93333333333333, 8.966666666666667, 16.066666666666666, 9.366666666666667, 19.5, 35.3, 11.333333333333334, 15.166666666666666, 8.466666666666667, 12.566666666666666, 13.233333333333333, 12.466666666666667, 23.833333333333332, 6.933333333333334, 11.466666666666667, 15.066666666666666, 9.666666666666666, 13.633333333333333, 6.233333333333333, 9.1, 13.733333333333333, 17.933333333333334, 32.233333333333334, 8.566666666666666, 23.833333333333332, 47.43333333333333, 8.666666666666666, 10.2, 17.7, 20.933333333333334, 5.566666666666666, 11.1, 8.466666666666667, 13.7, 49.9, 8.166666666666666, 9.433333333333334, 10.4, 27.866666666666667, 10.1, 11.4, 8.333333333333334, 9.666666666666666, 13.533333333333333, 14.933333333333334, 17.5, 20.633333333333333, 8.866666666666667, 13.933333333333334, 9.766666666666667, 14.133333333333333, 9.766666666666667, 46.3, 13.466666666666667, 10.066666666666666, 48.46666666666667, 7.1, 10.033333333333333, 11.133333333333333, 44.5, 12.5]",8,26,0,0,"0:1:50","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]",104,2.06818586174616,1.11394335230684,8.64794372257251e-124,TRUE,"Control"
"2","SPC10_1_[6 22 27]-3_tactile1","SPC10","SPC","F",1,"[6, 22, 27]","tactile1",3,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,89,50,0,0.648074069840786,65051,65051,0,"Any[]","Any[7.833333333333333, 10.866666666666667, 15.933333333333334, 7.633333333333334, 7.833333333333333, 9.5, 16.033333333333335, 10.833333333333334, 10.833333333333334, 7.833333333333333, 9.633333333333333, 7.7, 10.633333333333333, 7.966666666666667, 10.8, 7.933333333333334, 10.733333333333333, 7.766666666666667, 7.866666666666666, 9.533333333333333, 8.0, 10.866666666666667, 7.866666666666666, 9.4, 7.7, 9.466666666666667, 8.033333333333333, 10.766666666666667, 7.666666666666667, 7.933333333333334, 10.866666666666667, 7.866666666666666, 10.866666666666667, 7.966666666666667, 7.933333333333334, 9.566666666666666, 7.733333333333333, 9.233333333333333, 11.0, 8.666666666666666, 10.666666666666666, 7.766666666666667, 9.6, 7.8, 10.533333333333333, 8.166666666666666, 10.7, 8.066666666666666, 10.7, 7.9, 7.933333333333334, 10.7, 7.933333333333334, 10.766666666666667, 7.8, 9.4, 14.066666666666666, 7.8, 9.466666666666667, 8.133333333333333, 10.6, 17.733333333333334, 8.0, 12.833333333333334, 7.833333333333333, 10.8, 10.7, 7.933333333333334, 10.7, 8.133333333333333, 7.966666666666667, 10.766666666666667, 7.8, 8.266666666666667, 7.866666666666666, 10.533333333333333, 10.566666666666666, 8.066666666666666, 10.633333333333333, 7.8, 7.966666666666667, 10.7, 8.2, 8.0, 12.633333333333333, 7.966666666666667, 10.733333333333333, 7.966666666666667, 10.733333333333333]",7,36,0,0,"0:1:50","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]",89,1.95424250943932,0,1.22636708827619e-106,TRUE,"Control"
"3","SPC10_1_[6 22 27]-4_tactile1","SPC10","SPC","F",1,"[6, 22, 27]","tactile1",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",19,53,50,0.635353027369631,1.07684345971673,65051,65051,0,"Any[-17.533333333333335, -11.166666666666666, -44.56666666666667, -23.766666666666666, -26.733333333333334, -40.86666666666667, -16.833333333333332, -5.133333333333334, -34.06666666666667, -10.633333333333333, -46.8, -41.7, -39.96666666666667, -13.866666666666667, -22.0, -20.133333333333333, -29.433333333333334, -26.566666666666666, -32.233333333333334]","Any[15.433333333333334, 6.2, 4.066666666666666, 6.433333333333334, 5.033333333333333, 11.366666666666667, 12.766666666666667, 31.766666666666666, 40.266666666666666, 41.93333333333333, 37.1, 10.4, 17.766666666666666, 41.266666666666666, 44.03333333333333, 9.9, 12.033333333333333, 17.266666666666666, 12.433333333333334, 15.566666666666666, 13.766666666666667, 40.333333333333336, 9.766666666666667, 18.9, 32.93333333333333, 12.266666666666667, 34.733333333333334, 40.93333333333333, 36.96666666666667, 10.1, 20.3, 19.833333333333332, 13.466666666666667, 7.733333333333333, 24.133333333333333, 12.133333333333333, 15.7, 15.333333333333334, 18.0, 39.266666666666666, 12.0, 16.733333333333334, 31.633333333333333, 19.133333333333333, 13.7, 17.1, 19.733333333333334, 33.733333333333334, 2.6666666666666665, 5.366666666666666, 11.3, 22.5, 35.3]",12,5,0,0,"0:1:50","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]",34,1.73239375982297,1.30102999566398,9.12366287216979e-108,TRUE,"Control"
"5","SPC10_1_[6 22 27]-6_tactile1","SPC10","SPC","F",1,"[6, 22, 27]","tactile1",6,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",8,26,50,0.370328039909021,0.706818107248742,65051,65051,0,"Any[-10.666666666666666, -46.7, -34.666666666666664, -34.03333333333333, -33.766666666666666, -46.6, -34.93333333333333, -45.8]","Any[11.066666666666666, 7.833333333333333, 10.633333333333333, 13.666666666666666, 15.1, 10.5, 11.566666666666666, 13.633333333333333, 15.166666666666666, 11.366666666666667, 12.2, 12.966666666666667, 9.7, 9.7, 14.433333333333334, 12.333333333333334, 9.633333333333333, 9.6, 14.433333333333334, 2.6666666666666665, 9.633333333333333, 12.1, 6.366666666666666, 12.6, 18.566666666666666, 36.5]",9,5,0,0,"0:1:50","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]",18,1.43136376415899,0.954242509439325,1.14302156498676e-95,TRUE,"Control"
"6","SPC10_1_[6 22 27]-7_tactile1","SPC10","SPC","F",1,"[6, 22, 27]","tactile1",7,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",7,35,50,0.350509832753866,0.863074712399612,65051,65051,0,"Any[-48.56666666666667, -45.766666666666666, -32.63333333333333, -34.766666666666666, -49.8, -14.7, -19.5]","Any[22.466666666666665, 2.1666666666666665, 32.266666666666666, 15.333333333333334, 6.9, 7.466666666666667, 9.733333333333333, 10.733333333333333, 9.7, 21.066666666666666, 9.8, 17.7, 24.833333333333332, 6.6, 12.066666666666666, 4.7, 23.6, 10.733333333333333, 6.2, 11.133333333333333, 13.7, 40.93333333333333, 6.366666666666666, 10.7, 8.166666666666666, 9.866666666666667, 10.6, 12.666666666666666, 6.433333333333334, 9.666666666666666, 8.366666666666667, 19.033333333333335, 10.6, 10.666666666666666, 6.6]",6,6,0,0,"0:1:50","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]","[""spc10_210429_180411.rhs"", ""spc10_210429_180427.rhs"", ""spc10_210429_180553.rhs"", ""spc10_210429_180610.rhs"", ""spc10_210429_180627.rhs""]","[1, 2, 3, 4, 5]",28,1.55630250076729,0.903089986991944,8.50143781642731e-94,TRUE,"Control"
"8","SPC11_1_[11 22 27]-2_tactile1","SPC11","SPC","M",1,"[11, 22, 27]","tactile1",2,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",25,57,50,0.505076272276105,0.350509832753866,66166,66166,0,"Any[-7.2, -14.333333333333334, -43.4, -19.5, -43.03333333333333, -12.1, -10.3, -34.53333333333333, -25.866666666666667, -12.533333333333333, -8.1, -8.2, -32.36666666666667, -5.166666666666667, -15.433333333333334, -37.733333333333334, -43.36666666666667, -46.5, -32.86666666666667, -13.166666666666666, -24.2, -39.5, -39.43333333333333, -39.43333333333333, -32.5]","Any[7.566666666666666, 7.266666666666667, 8.3, 7.633333333333334, 6.933333333333334, 6.366666666666666, 7.1, 32.13333333333333, 6.933333333333334, 8.0, 4.033333333333333, 9.533333333333333, 7.033333333333333, 7.133333333333334, 8.2, 7.3, 7.966666666666667, 7.6, 47.53333333333333, 7.633333333333334, 8.4, 4.966666666666667, 8.8, 9.233333333333333, 7.933333333333334, 8.0, 7.933333333333334, 15.933333333333334, 7.866666666666666, 6.733333333333333, 7.766666666666667, 6.5, 7.3, 7.133333333333334, 6.6, 7.233333333333333, 3.966666666666667, 14.666666666666666, 8.133333333333333, 6.866666666666666, 7.9, 7.233333333333333, 16.5, 9.3, 7.4, 5.633333333333334, 14.466666666666667, 2.1, 7.2, 6.9, 7.433333333333334, 6.1, 6.866666666666666, 6.3, 6.533333333333333, 7.3, 7.6]",7,26,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",32,1.76342799356294,1.41497334797082,4.20753849077464e-141,TRUE,"Control"
"10","SPC11_1_[11 22 27]-4_tactile1","SPC11","SPC","M",1,"[11, 22, 27]","tactile1",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",11,26,50,0.464670170494017,0.838852471765897,66166,66166,0,"Any[-2.7333333333333334, -40.53333333333333, -29.033333333333335, -40.833333333333336, -41.53333333333333, -12.733333333333333, -33.233333333333334, -48.4, -8.733333333333333, -23.633333333333333, -12.6]","Any[4.4, 4.766666666666667, 42.6, 17.133333333333333, 19.5, 41.56666666666667, 4.666666666666667, 12.333333333333334, 44.6, 42.46666666666667, 4.666666666666667, 48.43333333333333, 2.3666666666666667, 14.366666666666667, 14.566666666666666, 35.233333333333334, 41.46666666666667, 4.366666666666666, 4.5, 33.13333333333333, 42.166666666666664, 17.366666666666667, 6.266666666666667, 21.9, 30.166666666666668, 26.1]",4,6,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",15,1.43136376415899,1.07918124604762,3.73640206678698e-86,TRUE,"Control"
"14","SPC11_1_[7 13 18]-2_tactile2","SPC11","SPC","M",1,"[7, 13, 18]","tactile2",2,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",8,29,50,0.370328039909021,0.78480466827545,66166,66166,0,"Any[-15.833333333333334, -44.766666666666666, -37.2, -33.63333333333333, -8.833333333333334, -36.63333333333333, -44.2, -35.1]","Any[5.666666666666667, 5.666666666666667, 6.266666666666667, 18.433333333333334, 46.53333333333333, 9.666666666666666, 10.866666666666667, 5.666666666666667, 9.266666666666667, 5.733333333333333, 41.266666666666666, 5.7, 5.7, 12.433333333333334, 5.666666666666667, 20.766666666666666, 46.233333333333334, 2.3, 6.6, 8.366666666666667, 21.766666666666666, 7.0, 5.7, 6.733333333333333, 48.333333333333336, 6.533333333333333, 6.633333333333334, 8.933333333333334, 6.633333333333334]",5,8,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",21,1.47712125471966,0.954242509439325,2.63323814961523e-93,TRUE,"Control"
"15","SPC11_1_[7 13 18]-3_tactile2","SPC11","SPC","M",1,"[7, 13, 18]","tactile2",3,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,29,50,0,0.49856938190329,66166,66166,0,"Any[]","Any[4.566666666666666, 4.6, 4.633333333333334, 4.6, 4.633333333333334, 4.566666666666666, 4.533333333333333, 4.566666666666666, 4.6, 4.733333333333333, 4.766666666666667, 4.6, 4.7, 4.6, 4.633333333333334, 4.7, 4.6, 4.533333333333333, 4.633333333333334, 4.6, 4.666666666666667, 4.6, 4.6, 4.633333333333334, 4.566666666666666, 4.7, 4.6, 4.633333333333334, 4.6]",4,29,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",29,1.47712125471966,0,2.33182966076772e-88,TRUE,"Control"
"16","SPC11_1_[7 13 18]-4_tactile2","SPC11","SPC","M",1,"[7, 13, 18]","tactile2",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,26,50,0,0.677329690921697,66166,66166,0,"Any[]","Any[4.766666666666667, 4.8, 4.8, 6.8, 4.833333333333333, 4.8, 4.733333333333333, 4.8, 4.833333333333333, 4.8, 4.8, 4.866666666666666, 4.766666666666667, 6.633333333333334, 4.8, 6.7, 6.766666666666667, 4.8, 6.966666666666667, 4.833333333333333, 4.8, 4.766666666666667, 6.766666666666667, 6.9, 4.866666666666666, 4.766666666666667]",4,19,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",26,1.43136376415899,0,1.61525511495574e-79,TRUE,"Control"
"19","SPC11_1_[7 13 18]-7_tactile2","SPC11","SPC","M",1,"[7, 13, 18]","tactile2",7,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",13,17,50,0.443087497693452,0.688387645894672,66166,66166,0,"Any[-40.0, -4.233333333333333, -38.766666666666666, -44.666666666666664, -47.233333333333334, -17.8, -7.966666666666667, -27.966666666666665, -37.86666666666667, -11.666666666666666, -31.3, -31.1, -16.8]","Any[12.3, 14.033333333333333, 33.13333333333333, 7.133333333333334, 17.7, 43.266666666666666, 47.96666666666667, 48.2, 6.8, 11.733333333333333, 43.733333333333334, 9.466666666666667, 6.833333333333333, 6.9, 9.766666666666667, 10.033333333333333, 6.833333333333333]",6,4,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",4,1.25527250510331,1.14612803567824,2.74602851573315e-51,TRUE,"Control"
"20","SPC11_1_[7 13 18]-8_tactile2","SPC11","SPC","M",1,"[7, 13, 18]","tactile2",8,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",10,17,50,0.494871659305394,0.592814112035612,66166,66166,0,"Any[-14.433333333333334, -24.633333333333333, -14.766666666666667, -12.4, -43.96666666666667, -47.9, -30.9, -11.3, -43.43333333333333, -38.03333333333333]","Any[6.833333333333333, 12.8, 7.633333333333334, 6.733333333333333, 8.733333333333333, 21.833333333333332, 19.933333333333334, 7.266666666666667, 19.766666666666666, 18.266666666666666, 10.433333333333334, 48.233333333333334, 6.466666666666667, 10.833333333333334, 14.633333333333333, 16.0, 33.43333333333333]",6,3,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",7,1.25527250510331,1.04139268515823,5.70306915316402e-80,TRUE,"Control"
"21","SPC11_1_[7 13 18]-9_tactile2","SPC11","SPC","M",1,"[7, 13, 18]","tactile2",9,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",7,18,50,0.404565778814466,0.562791874388349,66166,66166,0,"Any[-48.63333333333333, -31.133333333333333, -17.466666666666665, -5.3, -38.333333333333336, -10.966666666666667, -44.4]","Any[32.9, 6.633333333333334, 21.833333333333332, 12.866666666666667, 15.633333333333333, 15.533333333333333, 7.233333333333333, 11.4, 7.0, 13.0, 17.3, 6.566666666666666, 6.8, 6.633333333333334, 6.466666666666667, 6.6, 4.133333333333334, 6.6]",6,8,0,0,"0:1:50","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]","[""spc11_210503_182246.rhs"", ""spc11_210503_182302.rhs"", ""spc11_210503_182319.rhs"", ""spc11_210503_182335.rhs"", ""spc11_210503_182353.rhs""]","[1, 2, 3, 4, 5]",11,1.27875360095283,0.903089986991944,1.28766342626112e-97,TRUE,"Control"
"22","SPC13_1_[4 15 20]-2_tactile1","SPC13","SPC","M",1,"[4, 15, 20]","tactile1",2,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,69,50,0,0.490314351478015,67430,67430,0,"Any[]","Any[5.1, 11.033333333333333, 5.2, 13.466666666666667, 5.233333333333333, 5.266666666666667, 5.266666666666667, 13.6, 5.2, 11.1, 5.266666666666667, 13.566666666666666, 5.266666666666667, 13.366666666666667, 5.233333333333333, 11.1, 5.133333333333334, 11.166666666666666, 5.233333333333333, 13.5, 5.233333333333333, 11.133333333333333, 5.266666666666667, 13.633333333333333, 5.266666666666667, 13.466666666666667, 5.233333333333333, 5.266666666666667, 5.3, 5.3, 5.2, 5.1, 5.233333333333333, 5.3, 5.233333333333333, 13.466666666666667, 5.233333333333333, 5.233333333333333, 5.266666666666667, 5.233333333333333, 5.233333333333333, 5.233333333333333, 5.1, 11.2, 5.233333333333333, 5.233333333333333, 11.066666666666666, 5.266666666666667, 5.233333333333333, 5.266666666666667, 11.233333333333333, 5.266666666666667, 5.233333333333333, 5.266666666666667, 13.5, 5.2, 13.666666666666666, 5.1, 11.066666666666666, 5.2, 13.4, 5.266666666666667, 5.2, 5.266666666666667, 5.266666666666667, 5.2, 5.233333333333333, 5.166666666666667, 11.1]",5,48,0,0,"0:1:50","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]",69,1.84509804001426,0,3.70509418501289e-107,TRUE,"Control"
"23","SPC13_1_[4 15 20]-3_tactile1","SPC13","SPC","M",1,"[4, 15, 20]","tactile1",3,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",52,57,50,1.0093440990089,1.03035559544326,67430,67430,0,"Any[-13.866666666666667, -7.166666666666667, -47.9, -36.36666666666667, -32.9, -24.366666666666667, -6.9, -4.733333333333333, -2.1, -41.46666666666667, -31.8, -44.333333333333336, -38.8, -12.9, -29.3, -2.466666666666667, -7.466666666666667, -8.766666666666667, -49.86666666666667, -28.733333333333334, -26.4, -6.566666666666666, -25.8, -20.666666666666668, -45.93333333333333, -43.36666666666667, -22.533333333333335, -29.9, -13.3, -36.9, -29.0, -22.733333333333334, -24.133333333333333, -47.13333333333333, -42.5, -41.63333333333333, -48.666666666666664, -45.13333333333333, -41.8, -34.13333333333333, -22.966666666666665, -16.0, -28.0, -9.266666666666667, -2.2333333333333334, -16.7, -25.333333333333332, -13.066666666666666, -47.9, -37.266666666666666, -17.766666666666666, -10.5]","Any[30.866666666666667, 40.4, 42.0, 2.8333333333333335, 31.533333333333335, 16.533333333333335, 29.133333333333333, 11.333333333333334, 19.066666666666666, 27.833333333333332, 30.7, 47.5, 23.966666666666665, 15.366666666666667, 26.266666666666666, 46.8, 28.266666666666666, 9.766666666666667, 43.4, 31.4, 33.93333333333333, 15.3, 24.233333333333334, 35.233333333333334, 25.166666666666668, 33.6, 24.6, 41.46666666666667, 14.3, 31.9, 12.566666666666666, 13.4, 47.1, 20.1, 21.4, 8.866666666666667, 21.9, 20.033333333333335, 39.266666666666666, 19.0, 47.333333333333336, 7.9, 26.833333333333332, 49.56666666666667, 10.4, 16.966666666666665, 44.93333333333333, 36.766666666666666, 2.5, 21.0, 31.033333333333335, 10.7, 13.1, 14.766666666666667, 21.366666666666667, 47.86666666666667, 4.133333333333334]",31,4,0,0,"0:1:50","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]",5,1.76342799356294,1.72427586960079,1.3894156880562e-43,TRUE,"Control"
"24","SPC13_1_[4 15 20]-4_tactile1","SPC13","SPC","M",1,"[4, 15, 20]","tactile1",4,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,42,50,0,0.79179465488863,67430,67430,0,"Any[]","Any[4.9, 12.966666666666667, 4.966666666666667, 13.266666666666667, 5.033333333333333, 5.033333333333333, 13.3, 5.033333333333333, 5.066666666666666, 13.166666666666666, 10.966666666666667, 5.033333333333333, 5.066666666666666, 13.266666666666667, 5.033333333333333, 13.466666666666667, 5.1, 4.966666666666667, 4.9, 5.0, 10.9, 5.066666666666666, 13.3, 5.033333333333333, 5.033333333333333, 5.0, 5.033333333333333, 5.033333333333333, 5.033333333333333, 5.033333333333333, 11.033333333333333, 5.066666666666666, 13.3, 4.966666666666667, 13.466666666666667, 5.0, 5.0, 5.033333333333333, 5.033333333333333, 5.0, 4.966666666666667, 13.266666666666667]",5,18,0,0,"0:1:50","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]",42,1.63346845557959,0,2.13222508514845e-86,TRUE,"Control"
"25","SPC13_1_[4 15 20]-5_tactile1","SPC13","SPC","M",1,"[4, 15, 20]","tactile1",5,"shaker","shaker","M1",100,"0",-1,"control","true","[-50, 0]","[0, 50]",0,34,50,0,0.740656079818041,67430,67430,0,"Any[]","Any[10.766666666666667, 4.966666666666667, 4.966666666666667, 13.333333333333334, 4.9, 10.833333333333334, 13.3, 4.966666666666667, 10.833333333333334, 4.866666666666666, 4.966666666666667, 13.233333333333333, 10.866666666666667, 4.966666666666667, 13.333333333333334, 5.0, 5.033333333333333, 4.933333333333334, 13.2, 5.0, 4.966666666666667, 4.833333333333333, 10.933333333333334, 4.966666666666667, 10.833333333333334, 5.0, 5.0, 5.0, 4.833333333333333, 13.133333333333333, 5.0, 4.9, 4.966666666666667, 10.833333333333334]",4,20,0,0,"0:1:50","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]","[""spc13_210517_184350.rhs"", ""spc13_210517_184405.rhs"", ""spc13_210517_184420.rhs"", ""spc13_210517_184435.rhs"", ""spc13_210517_184518.rhs""]","[1, 2, 3, 4, 5]",34,1.54406804435028,0,2.532568625428e-83,TRUE,"Control"
